yrke,yrke_navn,hovedgruppe,hovedgruppe_navn,yrkesgruppe,yrkesgruppe_navn,lonnstakere,lonnstakere_start,vekst_antall,vekst_pst,median_lonn_start,reallonn_start,reallonn_slutt,lonn_vekst_pst,reallonn_vekst_pst,endring_bruddkvartal,median_lonn,median_lonn_kvinner,median_lonn_menn,gjennomsnittsalder,avtalt_arbeidstid,kvinner,menn,kvinneandel,under_40,fra_40_til_54,fra_55,andel_55plus,sykefravaer_pst,sykefravaer_aar,sammenlignbar,kvartal_start,kvartal_slutt
5223,Butikkmedarbeidere,5,Salgs- og serviceyrker,52,Salgsyrker,170281,166234,4047,0.024345200139562317,29000.0,39775.11111111111,42120.0,0.4524137931034482,0.058953672871924434,-1957,42120.0,41760.0,42810.0,35.8,17.3,103393,66888,0.6071904675213324,125269,25393,19619,0.11521543801128722,5.6,2025,true,2016K2,2026K2
5311,Barnehage- og skolefritidsassistenter mv.,5,Salgs- og serviceyrker,53,Pleie- og omsorgsarbeidere,96475,89083,7392,0.0829787950562959,30130.0,41324.968888888885,41610.0,0.3810155990706936,0.006897309756662695,966,41610.0,41610.0,41180.0,40.0,22.5,78405,18070,0.8126975900492356,50447,27152,18876,0.19565690593417984,9.2,2025,true,2016K2,2026K2
5321,Helsefagarbeidere,5,Salgs- og serviceyrker,53,Pleie- og omsorgsarbeidere,95278,92749,2529,0.027267140346526553,37520.0,51460.76444444444,56770.0,0.5130597014925373,0.10317055358334715,-578,56770.0,56850.0,56420.0,44.6,23.9,78170,17108,0.8204412351224837,36700,29705,28873,0.3030395264384223,10.3,2025,true,2016K2,2026K2
2422,Høyere saksbehandlere i offentlig og privat virksomhet,2,Akademiske yrker,24,"Rådgivere innen økonomi, administrasjon og salg",92092,65359,26733,0.40901788583056664,42920.0,58867.16444444444,61970.0,0.4438490214352284,0.05270910506457027,44,61970.0,60180.0,65710.0,46.6,35.2,60252,31840,0.6542587846935674,28850,35727,27515,0.2987773096468749,5.1,2025,true,2016K2,2026K2
2341,Grunnskolelærere,2,Akademiske yrker,23,Undervisningsyrker,82006,78106,3900,0.049932143497298576,42220.0,57907.07555555555,58830.0,0.3934154429180483,0.015938025458719585,770,58830.0,58790.0,58860.0,42.7,31.4,59808,22198,0.729312489330049,36899,28567,16540,0.20169255908104286,5.7,2025,true,2016K2,2026K2
5329,Andre pleiemedarbeidere,5,Salgs- og serviceyrker,53,Pleie- og omsorgsarbeidere,72734,62931,9803,0.15577378398563502,33580.0,46056.83555555555,48970.0,0.45830851697438946,0.06325151107983684,635,48970.0,48330.0,50870.0,38.5,15.8,55283,17451,0.760070943437732,47104,13509,12121,0.1666483350290098,6.7,2025,true,2016K2,2026K2
9112,Renholdere i bedrifter,9,"Renholdere, hjelpearbeidere mv.",91,Renholdere mv.,60326,61647,-1321,-0.021428455561503412,29170.0,40008.27555555555,41450.0,0.4209804593760713,0.03603565573433598,-768,41450.0,41430.0,41510.0,45.5,21.8,47226,13100,0.7828465338328415,21694,23806,14826,0.24576467857971687,8.2,2025,true,2016K2,2026K2
2223,Sykepleiere,2,Akademiske yrker,22,Medisinske yrker,59306,54847,4459,0.08129888599194124,41320.0,56672.67555555555,63050.0,0.5258954501452082,0.11252908711170395,-1269,63050.0,62580.0,66740.0,39.7,28.1,52979,6327,0.8933160219876572,32502,16200,10604,0.1788014703402691,8.4,2025,true,2016K2,2026K2
4110,Kontormedarbeidere,4,Kontoryrker,41,Kontormedarbeidere,53665,64302,-10637,-0.16542253740163604,34430.0,47222.65777777777,50000.0,0.4522218995062446,0.058813763411876385,-1247,50000.0,49520.0,51590.0,45.0,28.0,40402,13263,0.7528556787477872,21278,15879,16508,0.30761203764092054,5.9,2025,true,2016K2,2026K2
7115,Tømrere og snekkere,7,Håndverkere,71,Byggearbeidere,44400,47668,-3268,-0.06855752286649319,33450.0,45878.533333333326,49190.0,0.4705530642750373,0.07217900020052959,-2797,49190.0,44170.0,49300.0,40.1,35.8,863,43537,0.019436936936936936,21645,15054,7701,0.17344594594594595,6.3,2025,true,2016K2,2026K2
