kommunenummer,kommune,fylkesnummer,fylke,aar_start,aar_slutt,folkemengde_start,folkemengde_slutt,vekst,vekst_pst,fodselsoverskudd_sum,nettoinnflytting_sum,folketilvekst_sum,restledd_sum,grenseavvik_sum,grenseavvik_maks_pst,grenseavvik_maks_aar,aar_uten_folketall,aar_med_stromtall,sammenlignbar,rangering
3222,Lørenskog,32,Akershus,2011,2026,33308,51511,18203,0.5465053440614868,2957.0,15193.0,18203.0,53.0,0.0,0.0,2011,0.0,15,true,1
3209,Ullensaker,32,Akershus,2011,2026,30081,45982,15901,0.5286060968717795,2894.0,12996.0,15901.0,11.0,0.0,0.0,2011,0.0,15,true,2
3238,Nannestad,32,Akershus,2011,2026,11128,16662,5534,0.4973040977713875,1025.0,4490.0,5534.0,19.0,0.0,0.0,2011,0.0,15,true,3
3216,Vestby,32,Akershus,2011,2026,14708,20167,5459,0.3711585531683438,1176.0,4271.0,5457.0,10.0,2.0,0.0001007302946361118,2025,0.0,15,true,4
3114,Våler (Østfold),31,Østfold,2011,2026,4573,6229,1656,0.3621255193527225,417.0,1225.0,1656.0,14.0,0.0,0.0,2011,0.0,15,true,5
3240,Eidsvoll,32,Akershus,2011,2026,21128,28739,7611,0.36023286633850815,1189.0,6405.0,7611.0,17.0,0.0,0.0,2011,0.0,15,true,6
3218,Ås,32,Akershus,2011,2026,16733,22725,5992,0.3580947827645969,1348.0,4836.0,6205.0,21.0,-213.0,0.010474551266289649,2019,0.0,15,false,
5014,Frøya,50,Trøndelag - Trööndelage,2011,2026,4326,5794,1468,0.3393435043920481,148.0,1315.0,1468.0,5.0,0.0,0.0,2011,0.0,15,true,7
3224,Rælingen,32,Akershus,2011,2026,15920,20904,4984,0.31306532663316583,1729.0,3260.0,4984.0,-5.0,0.0,0.0,2011,0.0,15,true,8
3228,Nes,32,Akershus,2011,2026,19049,24948,5899,0.3096750485589795,738.0,4451.0,5217.0,28.0,682.0,0.03116289696138908,2019,0.0,15,false,
3205,Lillestrøm,32,Akershus,2011,2026,74869,96771,21902,0.2925376323979217,4974.0,17618.0,22584.0,-8.0,-682.0,0.007952703569387922,2019,0.0,15,false,
1108,Sandnes,11,Rogaland,2011,2026,67411,85785,18374,0.2725667917698892,8626.0,9926.0,18571.0,19.0,-197.0,0.002078047909840768,2019,0.0,15,true,9
4624,Bjørnafjorden,46,Vestland,2011,2026,21061,26753,5692,0.2702625706281753,1860.0,3835.0,5692.0,-3.0,0.0,0.0,2011,0.0,15,true,10
5029,Skaun,50,Trøndelag - Trööndelage,2011,2026,6756,8574,1818,0.2690941385435169,741.0,1079.0,1818.0,-2.0,0.0,0.0,2011,0.0,15,true,11
1124,Sola,11,Rogaland,2011,2026,23350,29541,6191,0.2651391862955032,3028.0,3172.0,6157.0,-43.0,34.0,0.0013028816676885345,2016,0.0,15,true,12
3326,Hemsedal,33,Buskerud,2011,2026,2140,2707,567,0.2649532710280374,125.0,433.0,567.0,9.0,0.0,0.0,2011,0.0,15,true,13
3230,Gjerdrum,32,Akershus,2011,2026,5990,7478,1488,0.24841402337228716,291.0,1172.0,1488.0,25.0,0.0,0.0,2011,0.0,15,true,14
