aar,lokalitet,cyano_maks_mg_l,planteplankton_neqr
2010,"Farris, Eikenesfjorden",0.04456,0.71835
2012,"Farris, Eikenesfjorden",0.01797,0.74567
2012,"Farris, Nesfjorden",0.00331,0.83147
2013,"Farris, Eikenesfjorden",0.00157,0.81378
2013,"Farris, Nesfjorden",0.00413,0.87839
2014,"Farris, Eikenesfjorden",0.02805,0.76501
2014,"Farris, Nesfjorden",0.02779,0.74078
2015,"Farris, Eikenesfjorden",,
2015,"Farris, Nesfjorden",,
2016,"Farris, Eikenesfjorden",0.00962,0.81676
2016,"Farris, Nesfjorden",0.00371,0.86072
2017,"Farris, Eikenesfjorden",0.0047,0.78088
2017,"Farris, Nesfjorden",0.00419,0.82748
2018,"Farris, Eikenesfjorden",,
2018,"Farris, Nesfjorden",,
2019,"Farris, Eikenesfjorden",,
2019,"Farris, Nesfjorden",,
2020,"Farris, Eikenesfjorden",0.00402,0.72987
2020,"Farris, Nesfjorden",0.00703,0.78444
2021,"Farris, Eikenesfjorden",0.00747,0.82265
2021,"Farris, Nesfjorden",,
2022,"Farris, Eikenesfjorden",0.022,0.69
2022,"Farris, Nesfjorden",0.012,0.75
2023,"Farris, Eikenesfjorden",0.00054,0.85273
2023,"Farris, Nesfjorden",0.00071,0.86555
2024,"Farris, Eikenesfjorden",0.03533,0.72116
2024,"Farris, Nesfjorden",0.02609,0.78287
2025,"Farris, Eikenesfjorden",0.01668,0.77909
2025,"Farris, Nesfjorden",0.01378,0.78866
