dato,aar,maaned,fargetall_mg_pt_l,turbiditet_fnu,totalfosfor_ug_l,ortofosfat_ug_l,totalnitrogen_ug_l,ph,jern_ug_l,mangan_ug_l,e_coli_per_100ml,koliforme_bakterier_per_100ml,intestinale_enterokokker_per_100ml,kimtall_22c_per_100ml,clostridium_perfringens_per_100ml
2011-10-18,2011,10,52.0,0.53,3.0,2.0,440.0,6.2,140.7,14.3,1.0,1.0,1.0,60.0,
2012-05-02,2012,5,42.0,0.97,9.0,2.0,560.0,6.2,176.0,12.5,1.0,1.0,1.0,210.0,
2012-05-22,2012,5,40.0,1.4,6.0,2.0,480.0,6.3,137.0,19.6,1.0,1.0,1.0,30.0,
2012-06-19,2012,6,33.0,0.58,5.0,2.0,420.0,6.8,88.0,8.1,2.0,200.0,1.0,160.0,
2012-07-24,2012,7,32.0,0.64,2.0,2.0,400.0,6.6,94.7,5.9,1.0,200.0,1.0,70.0,
2012-08-21,2012,8,30.0,0.6,8.0,2.0,400.0,6.5,67.5,6.4,1.0,5.0,1.0,130.0,
2012-09-19,2012,9,29.0,0.49,11.0,2.0,440.0,6.9,60.6,5.2,1.0,10.0,1.0,50.0,
2012-10-23,2012,10,35.0,1.1,8.0,3.0,490.0,6.4,99.9,8.8,6.0,2000.0,4.0,170.0,
2013-05-07,2013,5,40.0,0.5,7.0,5.0,520.0,6.4,154.0,24.4,1.0,1.0,1.0,190.0,
2013-05-29,2013,5,45.0,1.1,8.0,2.0,390.0,6.2,181.0,29.8,1.0,15.0,1.0,170.0,
2013-06-18,2013,6,48.0,1.0,15.0,2.0,450.0,6.4,105.0,25.8,1.0,100.0,1.0,210.0,
2013-07-24,2013,7,54.0,0.59,14.0,2.0,380.0,6.5,73.1,11.3,100.0,300.0,1.0,50.0,
2013-08-20,2013,8,37.0,0.55,3.0,2.0,400.0,6.5,57.4,7.9,1.0,1.0,1.0,11.0,
2013-09-17,2013,9,35.0,0.78,4.0,2.0,450.0,6.5,45.9,4.8,1.0,4.0,1.0,70.0,
2013-10-22,2013,10,38.0,0.53,9.0,2.0,420.0,6.3,109.0,14.5,1.0,1.0,1.0,50.0,
2014-04-29,2014,4,36.0,0.83,9.0,2.0,360.0,6.2,109.0,19.2,1.0,1.0,1.0,20.0,
2014-05-27,2014,5,35.0,2.9,19.0,11.0,1300.0,6.7,113.0,12.5,1.0,1.0,1.0,140.0,
2014-06-25,2014,6,31.0,0.55,13.0,9.0,370.0,6.4,49.6,8.9,1.0,1.0,1.0,80.0,
2014-07-29,2014,7,33.0,0.76,4.0,4.0,300.0,6.4,61.8,4.7,1.0,4.0,1.0,130.0,
2014-08-19,2014,8,29.0,1.9,10.0,2.0,1000.0,6.5,28.2,6.9,1.0,1.0,1.0,570.0,
2014-09-16,2014,9,25.0,0.85,8.0,2.0,320.0,6.6,40.1,6.8,2.0,2.0,1.0,180.0,
2014-10-21,2014,10,33.0,7.0,9.0,2.0,520.0,6.7,73.3,15.5,5.0,11.0,6.0,380.0,
2015-04-28,2015,4,39.0,0.47,13.0,2.0,520.0,6.4,109.0,6.1,1.0,1.0,1.0,120.0,
2015-05-26,2015,5,39.0,0.51,6.0,2.0,760.0,6.7,98.6,14.8,1.0,1.0,1.0,50.0,
2015-06-23,2015,6,34.0,0.51,6.0,2.0,350.0,6.6,121.0,20.5,1.0,1.0,1.0,11.0,
2015-07-28,2015,7,31.0,0.45,9.0,2.0,430.0,6.7,41.8,10.1,1.0,4.0,3.0,40.0,
2015-08-19,2015,8,32.0,0.64,2.0,2.0,480.0,6.7,74.5,10.2,1.0,1.0,1.0,11.0,
2015-09-23,2015,9,46.0,0.91,17.0,2.0,340.0,5.6,109.0,10.1,16.0,16.0,2.0,11.0,
2015-10-20,2015,10,55.0,1.5,6.0,2.0,400.0,6.4,140.0,,1.0,4.0,1.0,40.0,
2016-05-03,2016,5,40.0,0.69,2.0,2.0,380.0,6.9,141.0,14.0,1.0,1.0,1.0,50.0,
2016-06-07,2016,6,36.0,1.5,5.0,2.0,350.0,6.9,101.0,14.9,1.0,1.0,1.0,50.0,
2016-06-28,2016,6,33.0,0.76,4.0,2.0,380.0,6.8,48.3,9.2,1.0,4.0,1.0,40.0,
2016-08-02,2016,8,28.0,0.46,18.0,2.0,370.0,6.6,30.9,5.0,1.0,3.0,1.0,11.0,
2016-08-23,2016,8,31.0,0.42,6.0,2.0,380.0,6.9,39.6,4.1,1.0,2.0,1.0,50.0,
2016-09-20,2016,9,29.0,0.32,2.0,2.0,370.0,6.3,27.5,5.4,3.0,4.0,2.0,30.0,
2016-10-25,2016,10,29.0,0.87,11.0,3.0,350.0,6.7,50.3,6.8,1.0,1.0,1.0,30.0,
2017-05-03,2017,5,37.0,0.3,2.0,2.0,610.0,6.4,86.6,10.7,1.0,3.0,1.0,11.0,
