yrke,yrke_navn,kilde,periode,aar,periode_x,median_lonn_nominell,kpi_referanse,median_lonn_realt
3154,Flygeledere,aarlig,2015,2015,2015.8333333333333,75610.0,73.6,103655.5570652174
3154,Flygeledere,aarlig,2016,2016,2016.8333333333333,77970.0,76.2,103243.74015748031
3154,Flygeledere,aarlig,2017,2017,2017.8333333333333,81750.0,77.0,107124.35064935064
3154,Flygeledere,aarlig,2018,2018,2018.8333333333333,86860.0,79.7,109964.54203262232
3154,Flygeledere,aarlig,2019,2019,2019.8333333333333,89470.0,81.0,111450.90123456791
3154,Flygeledere,aarlig,2020,2020,2020.8333333333333,103670.0,81.6,128189.98774509804
3154,Flygeledere,aarlig,2025,2025,2025.8333333333333,121910.0,100.9,121910.0
3154,Flygeledere,kvartalsvis,2025K4,2025,2025.875,119800.0,100.86666666666667,119839.5902181097
3154,Flygeledere,kvartalsvis,2026K1,2026,2026.125,120260.0,102.06666666666668,118885.37557152187
3154,Flygeledere,kvartalsvis,2026K2,2026,2026.375,122220.0,102.86666666666667,119883.32469215813
