aar,andel_fodte_preben_pst,fodte_gutter_preben,borgerlig_andel_pst,hoyre,frp,krf,venstre,brukbar
1969,0.036,15.0,,20.0,,9.0,9.0,false
1973,0.078,31.0,38.0,17.0,5.0,12.0,4.0,true
1977,0.075,27.0,42.0,25.0,2.0,12.0,3.0,true
1981,0.076,28.0,48.0,32.0,4.0,9.0,3.0,true
1985,0.094,36.0,45.0,30.0,4.0,8.0,3.0,true
1989,0.196,79.0,46.0,22.0,13.0,8.0,3.0,true
1993,0.182,69.0,35.0,17.0,6.0,8.0,4.0,true
1997,0.259,93.0,47.0,14.0,15.0,14.0,4.0,true
2001,0.155,52.0,52.0,21.0,15.0,12.0,4.0,true
2005,0.139,46.0,49.0,14.0,22.0,7.0,6.0,true
2009,0.06,21.0,50.0,17.0,23.0,6.0,4.0,true
2013,0.031,10.0,54.0,27.0,16.0,6.0,5.0,true
2017,0.029,9.0,48.0,25.0,15.0,4.0,4.0,true
2021,0.023,6.0,41.0,20.0,12.0,4.0,5.0,true
2025,,,47.0,15.0,24.0,4.0,4.0,false
