kvartal_kode,aar,kvartal,kvartal_indeks,rente_snitt_pst,boligindeks,boligindeks_sesjustert,brukbar_niva,delta_rente_pp,endring_bolig_kvartal_pst
1992K1,1992,1,7969,9.90625,18.8,,true,,
1992K2,1992,2,7970,9.0,18.9,,true,-0.90625,
1992K3,1992,3,7971,9.545454545454545,19.0,,true,0.545454545454545,
1992K4,1992,4,7972,9.659090909090908,18.5,,true,0.11363636363636331,
1993K1,1993,1,7973,8.45703125,17.8,,true,-1.2020596590909083,
1993K2,1993,2,7974,6.85,18.7,,true,-1.6070312500000004,
1993K3,1993,3,7975,5.674242424242424,19.4,,true,-1.1757575757575758,
1993K4,1993,4,7976,5.018939393939394,20.0,,true,-0.6553030303030303,
1994K1,1994,1,7977,4.85546875,20.6,,true,-0.1634706439393936,
1994K2,1994,2,7978,4.75,21.2,,true,-0.10546875,
1994K3,1994,3,7979,4.75,22.1,,true,0.0,
1994K4,1994,4,7980,4.75,22.0,,true,0.0,
1995K1,1995,1,7981,4.75,22.1,,true,0.0,
1995K2,1995,2,7982,4.75,23.0,,true,0.0,
1995K3,1995,3,7983,4.75,23.4,,true,0.0,
1995K4,1995,4,7984,4.75,23.7,,true,0.0,
1996K1,1996,1,7985,4.6875,23.9,,true,-0.0625,
1996K2,1996,2,7986,4.5,25.0,,true,-0.1875,
1996K3,1996,3,7987,4.5,25.5,,true,0.0,
1996K4,1996,4,7988,4.209677419354839,26.1,,true,-0.29032258064516103,
1997K1,1997,1,7989,3.316666666666667,26.5,,true,-0.8930107526881721,
1997K2,1997,2,7990,3.25,28.4,,true,-0.06666666666666687,
1997K3,1997,3,7991,3.4583333333333335,28.6,,true,0.20833333333333348,
1997K4,1997,4,7992,3.5,29.0,,true,0.04166666666666652,
1998K1,1998,1,7993,3.5357142857142856,30.2,,true,0.03571428571428559,
1998K2,1998,2,7994,3.9788135593220337,32.1,,true,0.44309927360774815,
1998K3,1998,3,7995,6.318181818181818,31.8,,true,2.3393682588597846,
1998K4,1998,4,7996,8.0,30.9,,true,1.6818181818181817,
1999K1,1999,1,7997,7.476190476190476,32.1,,true,-0.5238095238095237,
1999K2,1999,2,7998,6.533898305084746,34.7,,true,-0.9422921711057306,
1999K3,1999,3,7999,5.954545454545454,35.4,,true,-0.5793528505392915,
1999K4,1999,4,8000,5.5,36.7,,true,-0.45454545454545414,
2000K1,2000,1,8001,5.5,38.9,,true,0.0,
2000K2,2000,2,8002,5.818965517241379,41.5,,true,0.318965517241379,
2000K3,2000,3,8003,6.561538461538461,40.3,,true,0.7425729442970823,
2000K4,2000,4,8004,7.0,40.3,,true,0.4384615384615387,
2001K1,2001,1,8005,7.0,41.7,,true,0.0,
2001K2,2001,2,8006,7.0,43.5,,true,0.0,
2001K3,2001,3,8007,7.0,43.5,,true,0.0,
2001K4,2001,4,8008,6.9140625,43.4,,true,-0.0859375,
2002K1,2002,1,8009,6.5,44.8,,true,-0.4140625,
2002K2,2002,2,8010,6.5,46.4,,true,0.0,
2002K3,2002,3,8011,6.9772727272727275,44.9,,true,0.4772727272727275,
2002K4,2002,4,8012,6.90625,44.6,,true,-0.07102272727272751,
2003K1,2003,1,8013,5.976190476190476,45.6,,true,-0.9300595238095237,
2003K2,2003,2,8014,5.0964912280701755,45.9,,true,-0.8796992481203008,
2003K3,2003,3,8015,3.4015151515151514,45.8,,true,-1.6949760765550241,
2003K4,2003,4,8016,2.475806451612903,46.4,,true,-0.9257086999022484,
2004K1,2004,1,8017,2.01953125,49.8,,true,-0.456275201612903,
2004K2,2004,2,8018,1.75,50.6,,true,-0.26953125,
2004K3,2004,3,8019,1.75,50.7,,true,0.0,
2004K4,2004,4,8020,1.75,51.3,,true,0.0,
2005K1,2005,1,8021,1.75,53.4,53.2,true,0.0,
2005K2,2005,2,8022,1.75,54.9,54.0,true,0.0,0.015037593984962294
2005K3,2005,3,8023,2.0,55.4,55.2,true,0.25,0.022222222222222365
2005K4,2005,4,8024,2.16015625,55.4,56.8,true,0.16015625,0.02898550724637672
2006K1,2006,1,8025,2.292307692307692,58.9,58.7,true,0.13215144230769216,0.033450704225352235
2006K2,2006,2,8026,2.5905172413793105,61.8,60.7,true,0.29820954907161834,0.03407155025553665
2006K3,2006,3,8027,2.873076923076923,63.8,63.6,true,0.2825596816976126,0.047775947281713416
2006K4,2006,4,8028,3.1984126984126986,64.6,66.1,true,0.3253357753357755,0.03930817610062887
2007K1,2007,1,8029,3.7265625,68.6,68.4,true,0.5281498015873014,0.03479576399394868
2007K2,2007,2,8030,4.101694915254237,71.2,69.9,true,0.375132415254237,0.021929824561403466
2007K3,2007,3,8031,4.630769230769231,71.1,70.9,true,0.5290743155149942,0.014306151645207432
2007K4,2007,4,8032,5.0396825396825395,69.5,71.1,true,0.40891330891330835,0.0028208744710858102
2008K1,2008,1,8033,5.25,71.1,71.0,true,0.21031746031746046,-0.0014064697609000865
2008K2,2008,2,8034,5.444444444444445,72.0,70.7,true,0.19444444444444464,-0.004225352112676051
2008K3,2008,3,8035,5.75,69.6,69.4,true,0.30555555555555536,-0.018387553041018356
2008K4,2008,4,8036,4.809523809523809,64.7,66.2,true,-0.9404761904761907,-0.04610951008645536
2009K1,2009,1,8037,2.6587301587301586,67.4,67.3,true,-2.1507936507936507,0.016616314199395577
2009K2,2009,2,8038,1.6483050847457628,70.9,69.6,true,-1.0104250739843958,0.03417533432392261
2009K3,2009,3,8039,1.25,72.2,72.0,true,-0.39830508474576276,0.034482758620689724
2009K4,2009,4,8040,1.45703125,72.2,73.8,true,0.20703125,0.02499999999999991
2010K1,2010,1,8041,1.75,74.6,74.7,true,0.29296875,0.012195121951219523
2010K2,2010,2,8042,1.9067796610169492,77.4,75.9,true,0.15677966101694918,0.016064257028112428
2010K3,2010,3,8043,2.0,77.0,76.8,true,0.09322033898305082,0.011857707509881354
2010K4,2010,4,8044,2.0,76.9,78.6,true,0.0,0.0234375
2011K1,2011,1,8045,2.0,80.9,80.9,true,0.0,0.029262086513994978
2011K2,2011,2,8046,2.135593220338983,83.1,81.5,true,0.13559322033898313,0.007416563658837916
2011K3,2011,3,8047,2.25,83.4,83.2,true,0.11440677966101687,0.020858895705521574
2011K4,2011,4,8048,2.1640625,83.0,84.8,true,-0.0859375,0.019230769230769162
2012K1,2012,1,8049,1.7038461538461538,86.0,86.1,true,-0.4602163461538462,0.015330188679245182
2012K2,2012,2,8050,1.5,88.8,87.1,true,-0.2038461538461538,0.011614401858304202
2012K3,2012,3,8051,1.5,89.3,89.0,true,0.0,0.021814006888633886
2012K4,2012,4,8052,1.5,88.7,90.5,true,0.0,0.016853932584269593
2013K1,2013,1,8053,1.5,91.4,91.5,true,0.0,0.011049723756906049
2013K2,2013,2,8054,1.5,93.9,92.1,true,0.0,0.006557377049180246
2013K3,2013,3,8055,1.5,92.1,91.8,true,0.0,-0.0032573289902280145
2013K4,2013,4,8056,1.5,89.6,91.5,true,0.0,-0.0032679738562091387
2014K1,2014,1,8057,1.5,91.7,91.8,true,0.0,0.003278688524590123
2014K2,2014,2,8058,1.5,95.2,93.4,true,0.0,0.017429193899782147
2014K3,2014,3,8059,1.5,95.3,95.0,true,0.0,0.017130620985010614
2014K4,2014,4,8060,1.4563492063492063,94.8,96.9,true,-0.04365079365079372,0.020000000000000018
2015K1,2015,1,8061,1.25,98.3,98.4,true,-0.20634920634920628,0.015479876160990669
2015K2,2015,2,8062,1.2161016949152543,101.5,99.6,true,-0.03389830508474567,0.012195121951219301
2015K3,2015,3,8063,0.9848484848484849,101.1,100.7,true,-0.23125321006676947,0.011044176706827447
2015K4,2015,4,8064,0.75,99.1,101.3,true,-0.23484848484848486,0.005958291956305706
2016K1,2016,1,8065,0.7213114754098361,102.8,102.9,true,-0.02868852459016391,0.015794669299111552
2016K2,2016,2,8066,0.5,107.1,105.1,true,-0.2213114754098361,0.021379980563653866
2016K3,2016,3,8067,0.5,109.1,108.7,true,0.0,0.0342530922930544
2016K4,2016,4,8068,0.5,109.1,111.6,true,0.0,0.026678932842686187
2017K1,2017,1,8069,0.5,113.2,113.3,true,0.0,0.015232974910394326
2017K2,2017,2,8070,0.5,114.5,112.4,true,0.0,-0.007943512797881636
2017K3,2017,3,8071,0.5,111.8,111.4,true,0.0,-0.008896797153024938
2017K4,2017,4,8072,0.5,109.9,112.4,true,0.0,0.008976660682226134
2018K1,2018,1,8073,0.5,112.0,112.1,true,0.0,-0.002669039145907548
2018K2,2018,2,8074,0.5,116.4,114.2,true,0.0,0.01873327386262269
2018K3,2018,3,8075,0.5230769230769231,115.1,114.6,true,0.023076923076923106,0.003502626970227629
2018K4,2018,4,8076,0.75,112.4,115.0,true,0.2269230769230769,0.003490401396160525
2019K1,2019,1,8077,0.7738095238095238,115.4,115.6,true,0.023809523809523836,0.00521739130434784
2019K2,2019,2,8078,1.0258620689655173,118.7,116.3,true,0.2520525451559935,0.006055363321799234
2019K3,2019,3,8079,1.2765151515151516,117.8,117.3,true,0.25065308254963425,0.008598452278589797
2019K4,2019,4,8080,1.5,115.3,118.1,true,0.2234848484848484,0.006820119352088705
2020K1,2020,1,8081,1.32421875,117.6,117.9,true,-0.17578125,-0.0016934801016087464
2020K2,2020,2,8082,0.09745762711864407,121.9,119.3,true,-1.226761122881356,0.01187446988973706
2020K3,2020,3,8083,0.0,123.6,123.0,true,-0.09745762711864407,0.031014249790444204
2020K4,2020,4,8084,0.0,124.0,127.2,true,0.0,0.034146341463414664
2021K1,2021,1,8085,0.0,130.7,131.0,true,0.0,0.029874213836478036
2021K2,2021,2,8086,0.0,137.0,133.8,true,0.0,0.021374045801526798
2021K3,2021,3,8087,0.01893939393939394,136.5,135.8,true,0.01893939393939394,0.014947683109117982
2021K4,2021,4,8088,0.28846153846153844,133.9,137.6,true,0.2695221445221445,0.013254786450662692
2022K1,2022,1,8089,0.51953125,140.1,140.4,true,0.23106971153846156,0.02034883720930236
2022K2,2022,2,8090,0.7923728813559322,145.7,142.2,true,0.2728416313559322,0.012820512820512775
2022K3,2022,3,8091,1.5303030303030303,143.1,142.4,true,0.7379301489470981,0.0014064697609001975
2022K4,2022,4,8092,2.4453125,137.4,141.3,true,0.9150094696969697,-0.0077247191011236005
2023K1,2023,1,8093,2.773076923076923,140.0,140.3,true,0.327764423076923,-0.00707714083510258
2023K2,2023,2,8094,3.2155172413793105,145.5,141.9,true,0.4424403183023875,0.011404133998574428
2023K3,2023,3,8095,3.8923076923076922,141.3,140.7,true,0.6767904509283817,-0.008456659619450413
2023K4,2023,4,8096,4.285714285714286,136.4,140.4,true,0.39340659340659334,-0.00213219616204674
2024K1,2024,1,8097,4.5,141.7,141.9,true,0.2142857142857144,0.010683760683760646
2024K2,2024,2,8098,4.5,147.7,144.0,true,0.0,0.014799154334038
2024K3,2024,3,8099,4.5,145.9,145.4,true,0.0,0.009722222222222188
2024K4,2024,4,8100,4.5,143.0,147.1,true,0.0,0.011691884456671131
2025K1,2025,1,8101,4.5,150.9,151.0,true,0.0,0.02651257647858607
2025K2,2025,2,8102,4.470338983050848,154.4,150.6,true,-0.02966101694915224,-0.0026490066225165476
2025K3,2025,3,8103,4.21969696969697,153.2,152.7,true,-0.25064201335387803,0.013944223107569709
2025K4,2025,4,8104,4.0,151.5,155.8,true,-0.21969696969696972,0.02030124426981028
2026K1,2026,1,8105,4.0,156.7,156.7,true,0.0,0.005776636713735517
2026K2,2026,2,8106,4.1525423728813555,161.2,157.3,true,0.15254237288135553,0.0038289725590301416
